CODICE_ART,CODICE_ALT,DESCRIZION,UM,CODICE_CAT,CODICE_FOR,CODICE_MAR,GIACEZ_INI,ALIQ_IVA,LISTINO_1,RIC_1,LISTINO_2,RIC_2,LISTINO_3,RIC_3,DATA_ULT_C,DATA_ULT_S,ESISTENZA,ESI_COLLI,S_SCORTA,RICA,PRZ_ACQ,PRZ_AGG,PRZ_MED,NOTE,COLORE,REPARTO,PESO,PESO_MED,TARA,PZXCT,PROVV,FOTO,DATA_INS,BILANCIA,PEN_FORN,ULT_FORN,TOUCH,Gruppo,Sottogruppo,sco_max,NCOL_GIRIXLS,NCOL_NTVXLS,cat_level_4,cat_level_5,data_scad,TP_taglia,cod_compatib,no_sconto,ult_sconto,flag_var,punti_reg,no_provv,cod_promoz,ric_acq0,Listino_4,Listino_5,cod_ei
88090290,88090290,COPRIPOLTRONA MILLERIGHE,CP,ARREDO CASA,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,9.9900,115.49,9.9900,115.49,0.0000,-100.0,28/11/2014,24/09/2018,0.000,0,6.000,,3.8000,0.0000,.34028E+39,,,1,,,,,0.00,,09/02/2011,,,1,,COPRIPOLTRONA,,,,,,FAMILY,,,,,0.00,F,,,,,,,
82660505,82660505,OSPITE HOTEL BIANCO,PZ,BIANCHERIA BAGNO,FANCY HOME,SITAS,0.00,22.0,1.9900,114.62,1.9900,114.62,11.9900,1193.1,28/08/2026,28/08/2026,74.000,-2,20.000,,0.7600,0.0000,0.7600,WEB,,1,,,,,0.00,,15/06/2010,,1,100,,OSPITE,,12.000,,,HOTELLERIA,TESSIL,,,,F,0.00,F,,,,,,15.0000,
81563128,81563128,ASCIUGAMANI HOTEL BIANCO,PZ,BIANCHERIA BAGNO,SCONOSCIUTO,SCONOSCIUTO,717.00,22.0,3.9900,115.16,3.9900,115.16,3.2000,72.56,28/08/2026,31/08/2026,472.000,5,20.000,,1.5200,0.0000,2.7356,WEB,,1,,,,,0.00,,12/03/2010,,1,100,,ASCIUGAMANI,,12.000,,,HOTELLERIA,FAMILY,,,,F,0.00,T,,,,,,30.0000,
8029377035707,8029377035707,REGGISENO FRAMES ART. R3570,PZ,CORSETTERIA,INTIMODRESS,FRAMES,0.00,22.0,7.0000,115.70,7.0000,115.70,,,21/01/2015,06/06/2017,0.000,0,6.000,,2.6600,0.0000,.34028E+39,,,1,,,,,0.00,,30/03/2017,,,1,,REGGISENO,DONNA,,,,,FAMILY,,,,,0.00,F,,,,,,,
8029377039453,8029377039453,BODY CLASSICO ART.B3945,PZ,CORSETTERIA,INTIMODRESS,FRAMES,0.00,22.0,5.0000,115.70,5.0000,115.70,,,24/01/2006,04/02/2020,0.000,0,6.000,,1.9000,0.0000,.34028E+39,,,1,,,,,0.00,,06/08/2014,,,,,BODY,DONNA,,,,,FAMILY,,,,,,F,,,,,,,
8300140150699,8300140150699,MAGLIA BIMBA C/COTONE M/L MAPOM CHAMOIS,PZ,MAGLIERIA,MAPOM,MAPOM,0.00,22.0,5.9900,115.34,5.9900,115.34,0.0000,-100.0,07/10/2022,30/03/2026,0.000,-2,6.000,0.00,2.2800,0.0000,.34028E+39,,,1,0.000,0.000,0.000,0,0.00,,19/10/2011,,,1,,MAGLIA,BIMBA,,,,C/COTONE,FAMILY,,,,,0.00,F,,,,,,,
8300140452410,8300140452410,MAGLIA UOMO C/COTONE M/M COL MAPOM TORGNON,PZ,MAGLIERIA,MAPOM,MAPOM,0.00,22.0,7.9900,118.31,7.9900,118.31,0.0000,-100.0,07/01/2019,12/11/2019,0.000,0,5.000,0.00,3.0000,0.0000,.34028E+39,,,1,0.000,0.000,0.000,0,0.00,,19/10/2011,,,1,,MAGLIA,UOMO,,,,C/COTONE,FAMILY,,,,,0.00,F,,,,,,,
8300140150637,8300140150637,MAGLIA BIMBO C/COTONE M/L MAPOM BALLABIO,PZ,MAGLIERIA,MAPOM,MAPOM,0.00,22.0,5.9900,119.19,5.9900,119.19,0.0000,-100.0,16/08/2023,16/08/2023,0.000,0,4.000,0.00,2.2400,0.0000,.34028E+39,,,1,0.000,0.000,0.000,0,0.00,,19/10/2011,,,1,,MAGLIA,BIMBO,,,,C/COTONE,FAMILY,,,,,0.00,F,,,,,,,
8300140452441,8300140452441,MAGLIA UOMO C/COTONE M/L COL MAPOM BRUSSON,PZ,MAGLIERIA,MAPOM,MAPOM,0.00,22.0,8.4000,40.52,8.4000,40.52,0.0000,-100.0,15/01/2021,14/01/2021,0.000,0,5.000,0.00,4.9000,0.0000,.34028E+39,4-5-6-7  nero in magazzino,ù,1,0.000,0.000,0.000,0,0.00,,02/11/2011,,,1,,MAGLIA,UOMO,,,,C/COTONE,FAMILY,,,,,0.00,F,,,,,,,
82046446,82046446,SLIP S/CUCITURE UOMO DONNA,PZ,MUTANDERIA,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,2.4000,116.18,2.4000,116.18,0.0000,-100.0,14/04/2025,11/11/2025,0.000,-1,4.000,0.00,0.9100,.34028E+39,.34028E+39,,,1,0.000,0.000,0.000,0,0.00,,10/05/2010,,1,100,C,SLIP,DONNA,,,,,FAMILY,,,,,0.00,F,,,,,,,
8032551290137,8032551290137,BODY BABY M/L C/COTONE ART. 013 BCO,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,9.00,22.0,4.9900,119.90,4.9900,119.90,0.0000,-100.0,04/05/2022,19/01/2024,9.000,0,4.000,0.00,1.8600,0.0000,4.9000,,,1,0.000,0.000,0.000,0,0.00,,08/09/2010,,,1,,BODY,NEONATI,,,,C/COTONE,FAMILY,,,,,0.00,F,,,,,,,
8032551291356,8032551291356,BAVETTE 4 PEZZI ART 135,PZ,INFANZIA,INTIMO CUORE,INTIMO CUORE,0.00,22.0,4.9900,119.90,4.9900,119.90,0.0000,-100.0,10/02/2017,23/09/2017,0.000,0,4.000,0.00,1.8600,0.0000,.34028E+39,,,1,0.000,0.000,0.000,0,0.00,,24/03/2010,,,1,,BAVETTE,NEONATI,,,,,FAMILY,,,,,0.00,F,,,,,,,
25386486,25386486,TOVAGLIA NATALIZIA 150X240 ART. 2538,PZ,NATALIZIO,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,16.4000,115.77,13.9900,84.06,0.0000,-100.0,07/11/2005,23/12/2019,0.000,0,5.000,0.00,6.2300,0.0000,.34028E+39,,,1,0.000,0.000,0.000,0,0.00,,13/02/2010,,,,,TOVAGLIA,X12,,,,,FAMILY,,,,,,F,,,,,,,
84253378,84253378,TOVAGLIA PANAMA X12 NATALIZIA,PZ,NATALIZIO,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,4.9900,119.90,4.9900,119.90,0.0000,-100.0,08/01/2021,08/01/2021,0.000,0,5.000,0.00,1.8600,0.0000,.34028E+39,,,1,0.000,0.000,0.000,0,0.00,,27/10/2010,,,1,,TOVAGLIA,X12,,,,,FAMILY,,,,,0.00,F,,,,,,,
